Date,Water Area (km^2)
2016-01-01 08:00:00,449.90587818021146
2016-01-02 08:00:00,694.2789556813957
2016-01-03 08:00:00,836.959928180244
2016-01-04 08:00:00,961.4808722627685
2016-01-05 08:00:00,1141.1143080174418
2016-01-06 08:00:00,1246.0025624438476
2016-01-07 08:00:00,1287.599030278882
2016-01-08 08:00:00,1301.496197153667
2016-01-09 08:00:00,1324.4837269141856
2016-01-10 08:00:00,1355.9690102761588
2016-01-11 08:00:00,1369.5534434589197
2016-01-12 08:00:00,1411.1377668915209
2016-01-13 08:00:00,1493.087712396434
2016-01-14 08:00:00,1597.521003482681
2016-01-15 08:00:00,1692.4486421567544
2016-01-16 08:00:00,1753.4139647086197
2016-01-17 08:00:00,1777.415231954864
2016-01-18 08:00:00,1785.0161268889472
2016-01-19 08:00:00,1786.4891551243168
2016-01-20 08:00:00,1782.6383094973858
2016-01-21 08:00:00,1767.6315229173742
2016-01-22 08:00:00,1746.9656797945267
2016-01-23 08:00:00,1748.026113220948
2016-01-24 08:00:00,1772.2605139052823
2016-01-25 08:00:00,1776.5203228675553
2016-01-26 08:00:00,1784.7325764115233
2016-01-27 08:00:00,1814.0806412392544
2016-01-28 08:00:00,1849.3044021912117
2016-01-29 08:00:00,1866.5631763187398
2016-01-30 08:00:00,1897.5252031202683
2016-01-31 08:00:00,2016.6057198849185
2016-02-01 08:00:00,2155.8776833366787
2016-02-02 08:00:00,2272.548822388368
2016-02-03 08:00:00,2358.7307550287596
2016-02-04 08:00:00,2394.093689015996
2016-02-05 08:00:00,2395.855105325333
2016-02-06 08:00:00,2361.563231451892
2016-02-07 08:00:00,2327.6154699840395
2016-02-08 08:00:00,2279.880211201224
2016-02-09 08:00:00,2224.598375825144
2016-02-10 08:00:00,2158.9155348084287
2016-02-11 08:00:00,2091.358532143003
2016-02-12 08:00:00,2007.7220634023547
2016-02-13 08:00:00,1915.3710893300351
2016-02-14 08:00:00,1824.2706573494106
2016-02-15 08:00:00,1773.5341205722148
2016-02-16 08:00:00,1717.9101905379055
2016-02-17 08:00:00,1686.3407711201633
2016-02-18 08:00:00,1642.9330210626733
2016-02-19 08:00:00,1594.5502501859287
2016-02-20 08:00:00,1547.4429697978126
2016-02-21 08:00:00,1506.034613410883
2016-02-22 08:00:00,1493.8419794529166
2016-02-23 08:00:00,1489.4191385638192
2016-02-24 08:00:00,1515.1006394118817
2016-02-25 08:00:00,1547.9624839687344
2016-02-26 08:00:00,1581.557354599894
2016-02-27 08:00:00,1596.5912346103653
2016-02-28 08:00:00,1595.4901762554584
2016-02-29 08:00:00,1585.2564360446831
2016-03-01 08:00:00,1554.0306773633752
2016-03-02 08:00:00,1518.3895898641608
2016-03-03 08:00:00,1471.6795060963773
2016-03-04 08:00:00,1442.3876681048416
2016-03-05 08:00:00,1422.3759053302545
2016-03-06 08:00:00,1410.218489322951
2016-03-07 08:00:00,1430.3247241050979
